method,V0(Angstrom^3/atom),E0(eV/atom),B0(eV/Angstrom^3),B0(GPa),Bp
dft,12.010209502262327,-3.7304750048346773,0.8731513531259518,139.8942684398285,4.686634457073504
①④⑤⑥1074,12.000400045230998,-3.727880881789613,0.874606947465606,140.12748036186477,5.068981301326835
