LAMMPS data file via write_data, version 22 Jul 2025, timestep = 5, units = metal

128 atoms
3 atom types

0 10.224764 xlo xhi
0 8.854905 ylo yhi
0 16.69697 zlo zhi
5.112382 0 0 xy xz yz

Masses

1 63.55
2 63.55
3 63.55

Atoms # atomic

1 1 2.4863255557701316e-07 1.839278513517571e-07 16.696969914121503 0 0 -1
2 1 1.2780957513675268 2.213726492493678 16.696969914121375 0 0 -1
5 1 2.5561912486325555 1.839278512859484e-07 16.696969914121503 0 0 -1
17 1 2.556191248848454 1.4758177211218593 2.087152601124137 0 0 0
33 1 1.2780957511539532 0.7379089618145576 4.177124806795135 0 0 0
34 1 2.5561912488460687 2.9516351851441076 4.177124812969141 0 0 0
6 1 3.8342867513675265 2.2137264924936786 16.69696991412138 0 0 -1
9 1 5.112382248632556 1.8392785146377878e-07 16.696969914121503 0 0 -1
10 1 6.390477751367525 2.2137264924936786 16.69696991412138 0 0 -1
13 1 7.668573248632556 1.8392785142182812e-07 16.696969914121503 0 0 -1
18 1 3.834286751151538 3.6895439536546 2.0871525844370282 0 0 0
21 1 5.112382248848455 1.4758177211218593 2.087152601124137 0 0 0
22 1 6.39047775115154 3.6895439536546 2.0871525844370282 0 0 0
25 1 7.668573248848455 1.4758177211218593 2.087152601124137 0 0 0
37 1 3.8342867511539533 0.7379089618145576 4.177124806795135 0 0 0
38 1 5.112382248846069 2.9516351851441076 4.177124812969141 0 0 0
41 1 6.390477751153953 0.7379089618145573 4.177124806795135 0 0 0
42 1 7.668573248846069 2.9516351851441076 4.177124812969141 0 0 0
14 1 8.946668751367525 2.2137264924936786 16.69696991412138 0 0 -1
26 1 8.946668751151538 3.6895439536546 2.0871525844370282 0 0 0
29 1 10.224764248848453 1.4758177211218595 2.087152601124137 0 0 0
45 1 8.946668751153954 0.7379089618145575 4.177124806795135 0 0 0
46 1 10.22476424884607 2.9516351851441076 4.177124812969141 0 0 0
30 1 11.502859751151536 3.6895439536545998 2.0871525844370282 0 0 0
4 1 3.834286751367447 6.641178988225823 16.696969914121432 0 0 -1
7 1 5.112382248632501 4.427452671691073 16.696969914121446 0 0 -1
8 1 6.390477751367447 6.641178988225823 16.696969914121432 0 0 -1
11 1 7.6685732486325 4.427452671691073 16.696969914121446 0 0 -1
19 1 5.11238224884842 5.903270227808587 2.087152608651251 0 0 0
20 1 6.390477751151576 8.116996459370027 2.0871525800586346 0 0 0
23 1 7.66857324884842 5.903270227808587 2.087152608651251 0 0 0
35 1 3.8342867511539263 5.165361478575442 4.177124809282731 0 0 0
36 1 5.112382248846037 7.379087672808667 4.177124809410385 0 0 0
39 1 6.3904777511539255 5.165361478575442 4.177124809282731 0 0 0
40 1 7.668573248846037 7.379087672808667 4.177124809410385 0 0 0
12 1 8.946668751367447 6.641178988225823 16.696969914121432 0 0 -1
15 1 10.2247642486325 4.427452671691072 16.696969914121446 0 0 -1
24 1 8.946668751151577 8.116996459370027 2.087152580058634 0 0 0
27 1 10.224764248848418 5.903270227808586 2.0871526086512513 0 0 0
43 1 8.946668751153926 5.165361478575442 4.177124809282731 0 0 0
44 1 10.224764248846038 7.379087672808667 4.177124809410385 0 0 0
3 1 2.5561912486324996 4.427452671691072 16.696969914121446 0 0 -1
16 1 11.502859751367446 6.641178988225823 16.696969914121432 0 0 -1
28 1 11.502859751151576 8.116996459370027 2.087152580058634 0 0 0
31 1 12.780955248848418 5.903270227808586 2.087152608651251 0 0 0
32 1 14.059050751151574 8.116996459370027 2.0871525800586346 0 0 0
47 1 11.502859751153927 5.165361478575442 4.177124809282731 0 0 0
48 1 12.780955248846038 7.379087672808668 4.177124809410385 0 0 0
49 1 2.4869943956920225e-07 1.8710969643616317e-07 6.264252720506439 0 0 0
50 1 1.2780957513006161 2.213726428714765 6.264252703552746 0 0 0
53 1 2.55619124869944 1.8710969575090735e-07 6.264252720506439 0 0 0
54 1 3.834286751300616 2.2137264287147653 6.264252703552745 0 0 0
57 1 5.11238224869944 1.871096959832482e-07 6.264252720506439 0 0 0
58 1 6.390477751300616 2.213726428714765 6.264252703552745 0 0 0
61 1 7.66857324869944 1.8710969577316253e-07 6.264252720506439 0 0 0
62 1 8.946668751300617 2.213726428714765 6.264252703552745 0 0 0
52 1 3.8342867513005117 6.641178926029913 6.2642527040136375 0 0 0
55 1 5.112382248699435 4.42745267704397 6.2642527127530165 0 0 0
56 1 6.390477751300512 6.641178926029913 6.2642527040136375 0 0 0
59 1 7.668573248699435 4.42745267704397 6.2642527127530165 0 0 0
60 1 8.946668751300512 6.641178926029913 6.2642527040136375 0 0 0
63 1 10.224764248699435 4.42745267704397 6.2642527127530165 0 0 0
51 1 2.556191248699435 4.42745267704397 6.264252712753017 0 0 0
64 1 11.502859751300512 6.641178926029913 6.2642527040136375 0 0 0
65 1 1.2780957512289184 0.7379088445134631 8.34848491864103 0 0 0
66 1 2.5561912487711416 2.951635113776334 8.348484918641123 0 0 0
81 1 2.486994264855791e-07 1.871096200351062e-07 10.432716944411732 0 0 0
82 1 1.2780957513006297 2.2137264287147174 10.432716961365651 0 0 0
85 1 2.5561912486994265 1.871096198283306e-07 10.432716944411732 0 0 0
97 1 1.2780957511539532 0.7379089618144141 12.519845025703452 0 0 0
98 1 2.5561912488460687 2.951635185144147 12.519845019529457 0 0 0
69 1 3.8342867512289183 0.737908844513463 8.34848491864103 0 0 0
70 1 5.112382248771143 2.9516351137763337 8.348484918641123 0 0 0
73 1 6.390477751228917 0.737908844513463 8.34848491864103 0 0 0
