structure,dump_path,N,Fmax,F95,Frms,Fmean,reject
str_056,relaxed/str_056.force.dump,129,0.000279916,9.430326e-05,6.331277456869179e-05,5.222747666666667e-05,False
str_060,relaxed/str_060.force.dump,122,0.000267747,9.853303499999998e-05,5.827154566349996e-05,4.6542086065573765e-05,False
str_048,relaxed/str_048.force.dump,143,0.000254889,7.361877000000001e-05,5.520661712177829e-05,4.2637492377622376e-05,False
str_050,relaxed/str_050.force.dump,143,0.00024959,8.828402000000001e-05,5.7045268654125286e-05,4.804105104895104e-05,False
str_055,relaxed/str_055.force.dump,132,0.000244789,0.0001232640999999,7.063060781014071e-05,5.96542846969697e-05,False
str_015,relaxed/str_015.force.dump,129,0.000237031,9.428585999999996e-05,6.233812633168498e-05,5.374071162790698e-05,False
str_005,relaxed/str_005.force.dump,135,0.000232219,0.000103994,6.256303597975405e-05,5.488193777777779e-05,False
str_081,relaxed/str_081.force.dump,137,0.000228814,0.0001028027999999,6.892804911567457e-05,5.970991094890511e-05,False
str_046,relaxed/str_046.force.dump,149,0.000227947,8.261121999999999e-05,5.279740156653999e-05,4.618363006711409e-05,False
str_084,relaxed/str_084.force.dump,139,0.00022714,9.186657999999996e-05,5.294453529419066e-05,4.454982633093525e-05,False
str_057,relaxed/str_057.force.dump,126,0.000226069,6.811845e-05,4.915524019722682e-05,4.054247603174603e-05,False
str_028,relaxed/str_028.force.dump,147,0.000213977,7.732380999999998e-05,5.032291493438598e-05,4.394186142857143e-05,False
str_045,relaxed/str_045.force.dump,164,0.000210524,0.0001120594499999,6.32705575086083e-05,5.562843207317073e-05,False
str_083,relaxed/str_083.force.dump,132,0.000208267,7.153941e-05,4.932110715429775e-05,3.983817106060606e-05,False
str_097,relaxed/str_097.force.dump,135,0.000204592,8.864381e-05,6.182758151655295e-05,5.42588437037037e-05,False
str_053,relaxed/str_053.force.dump,123,0.000193996,9.154605999999996e-05,5.564304784918731e-05,4.536246593495934e-05,False
str_099,relaxed/str_099.force.dump,141,0.000192001,7.51361e-05,4.729941594739501e-05,4.011389099290781e-05,False
str_096,relaxed/str_096.force.dump,127,0.000191203,8.767459999999988e-05,4.902095083054631e-05,4.07257005511811e-05,False
str_024,relaxed/str_024.force.dump,138,0.00018811,0.0001019781,5.922243606822132e-05,5.067289434782609e-05,False
str_014,relaxed/str_014.force.dump,143,0.000186968,0.00010112725,6.392431977531707e-05,5.708096153846154e-05,False
str_095,relaxed/str_095.force.dump,119,0.000180387,9.327674e-05,5.987281891602718e-05,5.350645268907563e-05,False
str_075,relaxed/str_075.force.dump,146,0.00017171,9.3413725e-05,5.214622328756059e-05,4.496311102739726e-05,False
str_040,relaxed/str_040.force.dump,118,0.00016863,8.965523499999999e-05,4.629270056680612e-05,3.831676762711866e-05,False
str_071,relaxed/str_071.force.dump,143,0.000165117,9.358638000000003e-05,5.522214817892332e-05,4.880381818181818e-05,False
str_068,relaxed/str_068.force.dump,110,0.00016479,6.845671499999999e-05,4.354395700231529e-05,3.756148863636364e-05,False
str_001,relaxed/str_001.force.dump,145,0.000164464,0.0001015494599999,5.17981786081823e-05,4.405783903448276e-05,False
str_049,relaxed/str_049.force.dump,133,0.0001634,9.799162e-05,6.481342365577897e-05,5.938191661654136e-05,False
str_065,relaxed/str_065.force.dump,132,0.000161817,9.62197949999998e-05,4.823339875781998e-05,4.089879901515152e-05,False
str_018,relaxed/str_018.force.dump,154,0.000158163,9.3338035e-05,5.253583224148129e-05,4.691556363636363e-05,False
str_022,relaxed/str_022.force.dump,134,0.000158108,7.435095999999999e-05,4.7613029741956056e-05,4.05896797761194e-05,False
str_072,relaxed/str_072.force.dump,127,0.000157556,8.625029999999999e-05,5.494338055463058e-05,4.791366409448818e-05,False
str_092,relaxed/str_092.force.dump,133,0.000156871,6.309485999999995e-05,4.251003302995358e-05,3.645735112781955e-05,False
str_002,relaxed/str_002.force.dump,129,0.000154725,9.997944e-05,5.672406148848415e-05,4.969164914728683e-05,False
str_011,relaxed/str_011.force.dump,146,0.000154003,7.964460000000001e-05,4.91572572742508e-05,4.25123351369863e-05,False
